game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
859,1728,2,1,2,2,2,1,0,2,0,0,1,9,1,1,1
860,2092,1,2,1,1,1,2,0,10,2,1,0,1,0,0,4
861,1726,1,2,2,1,1,1,0,6,1,1,2,2,0,0,0
862,1980,1,1,1,1,1,1,1,11,2,1,3,3,0,0,0
863,193,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
864,1916,1,1,1,0,0,1,0,3,0,0,2,1,0,0,0
865,1672,1,2,1,1,0,2,1,8,2,0,1,1,0,0,1
866,2358,2,2,1,2,1,2,1,7,0,1,0,9,2,1,4
867,1306,1,1,2,0,0,1,0,6,0,0,2,1,0,0,0
868,202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,1513,1,1,1,1,1,1,0,9,2,1,2,2,0,0,0
870,2421,2,2,1,2,2,2,0,3,0,0,1,11,5,1,4
871,1784,1,1,1,1,1,1,1,9,1,1,2,4,0,0,2
872,2259,1,1,2,1,2,1,0,9,1,0,3,5,0,1,1
873,1457,2,2,2,2,0,2,2,1,0,0,0,9,2,0,2
874,1790,2,2,2,2,0,1,2,1,0,0,1,11,3,0,3
875,2195,1,1,2,2,2,1,2,11,3,1,3,5,1,1,1
876,1671,2,1,2,2,2,1,0,1,0,0,1,9,1,1,0
877,1561,1,2,1,1,0,2,2,8,1,0,2,2,0,0,1
878,2170,1,1,1,1,1,2,0,10,2,1,2,1,0,0,1
879,1696,2,2,1,2,2,1,0,2,0,0,1,10,2,1,2
880,1621,1,1,1,1,0,1,0,10,2,0,2,1,0,0,0
881,1312,2,1,2,0,0,1,0,0,0,0,1,3,0,0,1
882,1920,1,1,1,1,0,2,0,11,3,0,2,1,0,0,1
883,1993,1,1,2,1,2,1,2,7,1,0,3,3,0,1,0
884,2370,2,1,1,2,2,1,0,8,2,0,2,7,1,1,1
885,1659,1,1,1,1,0,1,2,9,3,0,2,1,0,0,0
886,1890,1,1,1,1,1,2,1,6,1,1,0,3,0,0,3
887,1846,2,2,2,2,2,2,2,2,0,0,0,10,2,2,4
888,2226,2,2,2,2,2,2,2,5,0,0,0,9,1,1,3
889,2211,2,2,2,2,2,1,0,5,0,0,4,9,1,1,0
890,2216,1,2,2,1,1,1,0,7,1,1,2,5,0,0,1
891,2288,2,1,2,2,2,2,0,4,0,0,0,7,2,2,3
892,2652,1,2,2,1,0,1,2,10,2,0,4,4,0,0,0
893,2062,1,1,1,1,1,1,1,10,3,1,4,3,0,0,0
894,2055,1,1,2,1,1,1,2,11,3,1,4,5,0,0,0
895,1091,1,2,1,1,0,1,2,9,2,0,2,1,0,0,0
896,1454,2,2,2,2,2,2,0,0,0,0,0,8,2,1,1
897,2251,2,2,2,2,2,2,2,4,0,1,0,11,3,1,3
898,1613,2,1,2,2,0,2,2,4,0,0,0,11,3,0,3
899,1683,2,2,2,2,2,2,2,1,0,0,1,9,1,1,2
900,1767,1,1,1,1,0,2,1,11,3,0,2,0,0,0,1
901,2362,2,1,1,2,1,2,0,4,0,1,0,9,1,1,3
902,1845,1,2,2,1,2,1,1,10,2,1,2,4,0,1,0
903,1779,2,1,2,2,2,1,0,1,0,0,1,9,2,1,2
904,1397,1,1,1,1,0,1,1,11,2,0,3,0,0,0,0
905,1643,2,2,2,2,2,2,2,1,0,0,0,10,2,1,3
906,1231,1,1,1,1,0,1,1,6,1,0,2,1,0,0,0
907,1350,1,1,1,1,1,1,1,8,1,1,2,2,0,0,0
908,1281,1,1,1,1,0,1,1,8,2,0,2,0,0,0,0
909,1245,2,2,2,0,0,2,2,0,0,0,0,9,0,0,1
910,805,1,1,1,1,0,0,0,7,1,0,0,0,0,0,0
911,2173,2,2,2,2,2,2,0,4,0,0,0,10,2,1,3
912,2699,1,2,1,1,2,2,0,8,1,0,1,5,0,1,4
913,1828,2,2,2,2,0,2,0,0,0,0,0,9,2,0,3
914,922,1,2,1,0,0,1,0,4,0,0,1,0,0,0,0
915,1792,2,2,1,2,0,2,1,1,0,0,2,8,1,0,1
916,2069,1,1,2,1,1,2,0,10,2,1,1,1,0,0,2
917,2795,2,2,2,2,1,2,2,2,0,1,2,11,4,0,2
918,911,2,2,2,2,0,0,0,0,0,0,0,6,1,0,0
919,1565,1,1,1,1,0,1,0,10,2,0,3,1,0,0,0
920,1672,1,2,1,1,0,1,1,11,3,0,1,2,0,0,1
921,1878,1,1,1,1,0,2,2,8,2,0,1,4,0,0,2
922,1318,1,1,1,0,0,1,2,6,0,0,2,2,0,0,0
923,1544,1,2,1,1,1,1,0,7,1,1,2,2,0,0,0
924,2094,2,2,2,2,1,2,0,4,0,1,1,10,2,1,2
925,1505,1,1,1,1,0,1,2,9,3,0,1,1,0,0,1
926,1459,1,2,1,1,0,1,0,10,2,0,2,0,0,0,0
927,2154,2,2,1,1,2,2,0,7,1,0,1,9,1,1,2
928,2645,1,2,2,2,2,1,2,6,1,1,2,11,7,2,2
929,2331,2,2,2,2,2,1,0,5,0,0,1,9,1,2,3
930,941,2,2,2,0,0,2,0,0,0,0,0,4,0,0,1
931,2394,2,2,2,2,1,1,2,3,0,2,2,10,2,1,3
932,1992,2,2,1,1,0,1,0,9,1,0,3,8,1,0,0
933,1652,1,2,2,1,1,1,2,10,2,1,3,3,0,0,0
934,1179,1,1,1,1,0,1,1,10,1,0,1,0,0,0,0
935,1853,1,2,1,1,1,1,0,10,2,1,4,2,0,0,0
936,2285,1,1,2,1,1,2,2,10,3,1,2,2,0,0,2
937,2429,1,1,1,1,1,1,0,7,2,1,3,4,0,0,1
938,1871,1,1,1,1,1,1,0,9,2,1,2,4,0,0,0
939,2564,2,1,2,2,2,2,0,4,0,0,0,11,3,1,5
940,2971,2,1,1,2,2,2,0,3,0,0,0,11,5,1,3
941,2482,2,2,1,2,2,2,0,4,0,0,1,10,3,2,4
942,1956,1,1,1,1,0,1,1,9,2,0,1,2,0,0,1
943,2189,1,2,2,1,0,2,0,9,1,0,1,2,0,0,1
944,2116,1,2,2,1,1,2,0,10,1,1,2,5,0,1,2
945,1828,2,2,1,2,2,2,1,2,0,0,0,8,1,1,4
946,1737,1,2,2,1,0,1,1,8,1,0,2,4,0,0,0
947,1597,1,1,1,1,1,1,0,9,2,1,3,1,0,0,0
948,1160,1,1,1,1,0,1,1,6,1,0,1,0,0,0,0
949,1327,2,2,2,2,0,2,2,1,0,0,0,9,1,0,3
950,1270,1,2,1,0,0,1,0,5,0,0,2,1,0,0,0
951,1537,1,1,1,0,0,1,0,5,0,0,2,0,0,0,0
952,199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
953,2598,1,2,2,2,1,1,1,8,2,2,3,8,2,0,2
954,2093,1,2,2,1,1,2,2,9,2,1,0,2,0,0,3
955,1788,1,1,2,1,0,2,1,9,2,0,0,3,0,0,1
956,1502,2,1,2,2,0,2,2,0,0,0,1,11,3,0,3
957,1699,1,1,1,1,0,2,0,10,2,0,1,2,0,0,1
958,2229,2,2,2,1,1,1,0,9,3,1,3,10,3,0,0
959,1135,1,2,1,1,0,1,1,8,1,0,1,2,0,0,0
960,1749,2,2,2,2,2,2,2,0,0,0,0,10,3,1,2
961,1776,2,1,1,2,0,1,0,3,0,0,1,7,1,0,0
962,191,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
963,1515,1,1,1,1,1,1,1,9,2,1,3,0,0,0,0
964,1902,1,2,1,1,1,1,1,10,2,2,4,0,0,0,0
965,2959,2,2,1,2,1,1,1,6,1,2,1,10,4,1,5
966,1356,2,1,2,2,0,2,0,2,0,0,0,11,3,0,2
967,1809,2,1,2,2,2,2,2,2,0,0,0,9,1,1,3
968,1221,2,2,2,2,0,2,2,0,0,0,0,9,1,0,2
969,2237,1,1,1,1,2,1,2,11,6,1,3,3,0,1,1
970,2508,2,1,2,2,1,2,0,1,0,1,0,10,4,1,5
971,1334,2,2,2,0,0,2,2,0,0,0,0,7,0,0,1
972,1613,2,2,2,2,2,2,2,1,0,0,0,10,3,1,3
973,1905,1,1,1,1,0,1,1,9,2,0,3,1,0,0,0
974,1693,2,2,2,2,2,2,2,1,0,0,0,9,1,1,2
975,1420,1,1,1,1,0,1,0,11,2,0,2,0,0,0,0
976,2344,2,1,1,1,2,1,1,7,2,0,3,9,1,1,1
977,2119,1,1,1,1,0,1,1,11,3,0,3,3,0,0,0
978,1851,2,2,2,2,2,2,0,3,0,0,0,11,3,1,3
979,1652,1,1,1,1,0,2,1,9,1,0,2,2,0,0,1
980,1622,1,1,2,1,1,1,1,9,2,1,2,2,0,0,1
981,1520,1,1,1,1,1,1,1,8,1,1,2,3,0,0,0
982,1902,1,2,2,1,2,1,2,8,1,0,2,3,0,1,0
983,1442,1,1,2,1,1,1,2,11,2,1,3,1,0,0,0
984,1965,2,1,2,2,2,2,2,1,0,0,1,11,2,1,2
985,2039,2,2,2,2,1,1,0,3,0,1,1,9,2,0,2
986,1653,1,1,1,1,0,1,1,10,2,0,2,0,0,0,0
987,1731,2,2,2,2,0,2,0,1,0,0,0,10,2,0,1
988,924,1,1,1,1,0,1,0,8,2,0,1,0,0,0,0
989,2200,1,2,1,1,1,1,0,11,3,1,3,4,0,0,1
990,1253,1,1,1,1,0,1,1,11,2,0,2,0,0,0,0
991,1584,1,1,1,1,0,1,0,6,1,0,3,3,0,0,0
992,1353,1,1,1,0,0,1,0,4,0,0,2,0,0,0,0
993,2265,2,1,2,2,1,1,0,3,0,1,1,10,4,0,1
994,1421,1,2,2,1,1,2,0,5,1,1,0,4,0,0,1
995,2004,1,1,2,1,0,1,1,6,1,0,3,4,0,0,1
996,1696,2,1,2,2,2,2,2,0,0,0,0,11,3,1,3
997,1211,2,2,2,0,0,2,2,0,0,0,0,7,0,0,2
998,1560,1,1,1,1,1,1,0,7,2,1,2,2,0,0,1
999,2058,1,1,2,1,1,2,0,11,3,1,1,3,0,0,2
1000,2294,1,1,1,1,1,1,0,9,1,1,4,4,0,0,0
