game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
13636,2688,1,1,2,2,1,2,0,9,2,2,1,8,2,0,3
13637,1543,1,1,1,1,1,1,1,11,3,1,2,1,0,0,0
13638,1755,1,2,1,1,0,2,0,10,2,0,0,2,0,0,1
13639,1805,1,2,2,1,1,1,0,11,3,1,3,1,0,0,0
13640,1758,2,2,2,2,0,2,2,2,0,0,1,7,1,0,2
13641,2294,1,2,1,1,1,1,1,9,2,1,4,2,0,0,0
13642,2496,2,2,2,1,1,2,2,7,1,1,1,7,1,1,2
13643,1884,2,1,1,2,2,1,0,4,0,0,2,9,2,1,0
13644,1686,2,2,2,2,2,2,2,0,0,0,0,11,2,1,3
13645,1453,1,1,1,1,1,1,0,9,1,1,3,0,0,0,0
13646,2261,1,1,1,1,1,1,0,10,3,1,3,2,0,0,0
13647,1765,1,1,1,1,1,2,0,8,1,1,1,3,0,0,2
13648,2207,1,2,1,1,0,2,0,11,3,0,1,5,0,0,2
13649,1417,1,1,1,1,1,1,0,6,1,1,2,0,0,0,0
13650,1788,2,2,2,2,2,1,1,2,0,0,1,11,3,1,1
13651,1735,1,2,2,1,1,2,1,11,3,1,2,3,0,0,1
13652,2208,2,1,2,2,0,1,0,4,0,0,1,11,4,0,2
13653,948,2,1,2,2,0,0,0,0,0,0,0,5,1,0,0
13654,1542,2,1,2,2,2,1,2,0,0,0,1,11,4,1,2
13655,782,1,1,1,1,0,1,0,8,1,0,1,0,0,0,0
13656,1442,1,1,1,1,0,1,0,10,2,0,2,0,0,0,0
13657,2098,2,2,2,2,2,1,0,4,0,0,1,8,3,1,1
13658,2012,1,1,1,1,1,2,0,9,1,2,2,3,0,0,1
13659,1932,1,2,1,1,1,1,0,10,2,1,3,4,0,0,0
13660,1410,2,2,2,2,0,1,1,2,0,0,1,5,1,0,0
13661,1858,2,1,1,2,2,2,1,4,0,0,0,8,1,2,3
13662,1815,2,1,2,2,2,1,2,0,0,0,1,11,4,1,3
13663,2566,1,2,2,1,1,2,0,9,1,1,2,4,0,0,2
13664,1843,1,1,1,1,1,1,1,9,1,1,2,5,0,0,1
13665,1855,1,2,2,1,1,2,1,9,1,1,2,5,0,0,1
13666,3084,1,1,2,2,2,2,0,10,2,1,0,7,1,1,4
13667,1974,2,1,1,2,2,1,0,6,0,0,2,6,1,1,1
13668,2414,2,2,2,2,2,2,0,4,0,0,1,10,2,1,2
13669,1702,2,2,2,2,2,1,1,5,0,0,1,8,1,1,1
13670,2368,2,2,2,2,2,1,2,5,0,0,2,9,3,1,2
13671,1227,1,2,1,0,0,2,0,5,0,0,1,0,0,0,1
13672,1906,1,2,1,1,0,1,0,11,3,0,2,0,0,0,0
13673,1589,1,1,1,1,0,1,0,10,2,0,3,2,0,0,0
13674,2987,1,1,1,1,2,2,0,10,3,0,3,8,1,1,2
13675,2052,1,2,1,1,2,2,0,11,3,0,1,4,0,1,1
13676,2043,1,1,2,1,1,2,2,7,1,2,1,3,0,0,3
13677,1311,1,2,1,0,0,1,1,5,0,0,2,1,0,0,0
13678,2075,1,1,2,1,1,1,2,8,2,2,3,5,0,0,1
13679,1432,2,1,2,0,0,2,2,1,0,0,2,7,0,0,1
13680,2310,1,2,1,1,1,1,1,10,3,1,3,2,0,1,2
13681,2439,2,2,1,2,2,2,1,6,0,0,3,10,2,2,2
13682,1968,2,2,2,2,2,2,1,4,0,0,0,11,2,1,3
13683,1635,2,1,1,2,0,2,1,3,0,0,0,10,2,0,1
13684,2016,2,1,2,2,2,2,0,1,0,0,0,10,2,1,3
13685,1826,1,2,2,1,1,1,0,9,2,1,2,3,0,0,1
13686,2307,2,2,1,2,2,1,0,7,0,0,2,9,1,1,2
13687,1748,1,2,2,1,0,1,0,8,1,0,2,4,0,0,0
13688,2159,1,2,2,2,1,1,2,8,1,2,3,6,2,0,0
13689,1997,1,1,1,1,1,1,1,10,2,1,3,1,0,0,0
13690,2111,1,1,1,1,0,1,0,11,2,0,3,1,0,0,1
13691,1243,1,1,1,1,0,1,1,9,1,0,1,0,0,0,0
13692,2009,1,1,1,2,0,1,2,7,1,0,2,7,1,0,1
13693,1624,1,2,1,1,0,1,1,10,2,0,3,1,0,0,0
13694,2313,1,1,2,1,1,2,0,11,3,1,2,2,0,0,2
13695,922,1,1,1,0,0,1,1,6,0,0,1,0,0,0,0
13696,2198,2,2,2,2,2,2,2,7,0,0,1,10,2,2,3
13697,1650,1,1,1,0,0,1,0,5,0,0,3,1,0,0,0
13698,1757,2,2,2,2,2,1,0,0,0,0,1,7,1,1,1
13699,2090,2,2,1,2,0,2,0,3,0,0,1,10,2,0,3
13700,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13701,1295,1,1,1,0,0,2,1,3,0,0,2,0,0,0,1
13702,1657,2,1,2,2,0,2,0,0,0,0,0,10,2,0,2
13703,1547,2,1,2,2,0,2,0,2,0,0,0,9,1,0,2
13704,2051,1,2,2,1,1,1,0,9,3,1,2,5,1,0,1
13705,194,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13706,1279,1,1,1,0,0,1,1,6,0,0,2,1,0,0,0
13707,205,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13708,1896,1,1,1,1,1,1,1,8,1,1,3,3,0,0,0
13709,1519,1,2,2,0,0,2,2,3,0,0,2,3,0,0,1
13710,1937,1,1,2,1,1,1,0,8,2,1,2,3,0,0,1
13711,1865,1,2,2,1,0,2,0,8,1,0,1,1,0,0,1
13712,2308,1,1,1,2,2,1,0,8,1,1,2,6,1,1,1
13713,2692,1,2,1,1,1,1,1,9,1,2,2,5,0,0,3
13714,1781,2,1,2,2,0,2,1,1,0,0,1,10,2,0,2
13715,1529,1,1,2,0,0,1,0,5,0,0,2,1,0,0,1
13716,2354,2,1,1,2,2,1,0,3,0,0,1,10,2,2,4
13717,1990,2,1,2,2,0,2,2,0,0,0,1,9,3,0,3
13718,1609,1,2,1,1,1,1,0,10,2,1,2,1,0,0,0
13719,2220,2,2,2,2,2,2,0,5,0,0,0,10,2,1,4
13720,914,1,1,1,0,0,1,0,4,0,0,1,0,0,0,0
13721,1399,1,2,1,1,0,2,0,7,1,0,1,1,0,0,1
13722,1557,1,2,1,1,1,1,1,9,1,1,2,0,0,0,0
13723,1798,2,2,1,2,0,1,0,6,0,0,2,9,1,0,0
13724,1982,1,1,2,1,1,2,0,8,1,1,3,4,0,1,1
13725,2208,2,2,2,2,1,1,2,2,0,1,2,10,2,0,1
13726,199,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13727,2300,2,1,2,2,1,2,1,4,1,1,1,10,4,1,4
13728,2018,2,1,2,2,1,1,0,1,0,1,3,9,1,0,0
13729,1575,1,2,2,1,1,1,1,11,2,1,1,2,0,0,0
13730,1657,2,2,2,0,0,2,0,1,0,0,0,4,0,0,2
13731,1231,1,1,1,0,0,2,0,3,0,0,1,2,0,0,1
13732,1758,1,1,1,1,1,2,1,10,2,1,1,2,0,0,2
13733,2012,2,2,2,1,2,1,2,5,1,0,3,6,0,1,1
13734,1597,1,1,2,1,0,2,0,8,1,0,1,2,0,0,1
13735,1906,1,1,2,1,0,2,0,11,2,0,1,2,0,0,2
13736,1837,2,2,1,2,0,2,1,4,0,0,0,7,1,0,3
13737,2246,2,2,2,2,2,2,2,6,0,0,2,11,3,1,1
13738,1806,1,1,1,1,0,1,0,7,1,0,3,2,0,0,0
13739,1127,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
13740,1668,2,2,1,2,2,2,2,3,0,0,1,9,2,1,2
13741,1575,2,2,2,2,0,2,2,1,0,0,0,11,2,0,2
13742,2514,2,1,2,2,2,2,1,5,0,0,2,9,5,1,3
13743,1683,1,1,1,1,1,1,1,11,3,1,2,0,0,0,0
13744,1941,1,2,2,1,1,2,0,11,3,1,2,3,0,0,2
13745,2108,1,1,1,1,2,2,0,8,1,0,1,3,0,1,2
13746,2271,2,2,2,2,2,1,2,3,0,0,2,7,1,1,2
13747,1806,2,2,2,2,1,2,2,1,0,1,0,9,1,0,2
13748,2922,1,2,2,1,1,1,1,9,1,1,2,4,0,0,1
13749,1987,2,1,1,2,2,1,2,6,0,0,3,9,2,1,1
13750,3072,1,1,2,1,1,1,0,11,5,3,5,9,2,1,1
13751,2134,2,2,1,2,2,2,2,5,0,0,3,10,3,2,1
13752,2121,2,2,2,2,1,2,0,6,0,1,0,7,1,1,4
13753,1325,2,1,2,0,0,2,0,0,0,0,0,4,0,0,3
13754,2265,1,2,1,1,1,1,1,10,2,1,2,4,0,0,2
13755,1874,1,2,2,1,1,2,2,5,1,1,1,4,0,0,1
13756,198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13757,2152,1,2,2,1,0,2,2,7,3,0,2,5,0,0,1
13758,1827,2,1,2,2,2,1,2,4,0,0,1,11,3,1,2
13759,1842,2,2,2,2,2,2,0,0,0,0,0,11,4,2,4
13760,1871,1,2,2,1,1,1,0,11,3,1,2,5,0,0,0
13761,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13762,1743,1,1,2,1,0,1,0,4,1,0,2,3,0,0,0
13763,1847,1,1,1,1,1,1,1,11,4,2,2,2,0,0,1
13764,1697,1,1,1,1,0,1,0,10,1,0,3,2,0,0,0
13765,1964,1,1,1,1,2,1,2,11,4,0,2,5,0,1,1
13766,2122,2,2,2,2,2,2,0,8,1,1,0,8,2,1,3
13767,1988,2,1,1,2,2,1,0,4,0,0,1,9,1,1,2
13768,1808,2,1,2,2,2,2,0,0,0,0,0,11,2,1,2
13769,1100,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0
13770,1536,1,1,1,0,0,1,0,7,0,0,2,1,0,0,0
13771,1752,1,2,1,1,1,2,2,11,2,1,2,3,0,0,1
13772,2053,2,2,2,2,2,2,0,3,0,0,0,8,1,1,1
13773,2684,1,1,2,1,1,1,1,11,3,2,2,6,1,1,3
13774,2178,1,1,2,1,1,2,0,9,3,2,2,4,0,0,2
13775,1914,1,2,1,1,1,1,0,10,1,1,3,5,0,0,0
13776,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13777,1730,1,1,1,1,0,2,0,9,2,0,3,2,0,0,1
13778,1733,1,1,1,1,1,1,1,10,2,1,3,0,0,0,0
13779,1369,1,2,1,1,0,1,1,10,2,0,2,1,0,0,0
13780,2286,1,2,2,1,2,2,1,9,2,1,3,5,0,1,1
13781,1810,1,1,2,1,1,1,0,11,3,1,2,4,0,0,0
13782,2290,1,2,1,1,1,2,0,11,3,1,1,6,0,0,2
13783,2270,2,1,2,2,2,1,0,2,0,0,2,9,1,1,1
13784,2570,2,1,1,1,2,2,0,8,2,0,2,7,1,2,3
13785,1536,1,2,2,1,0,1,0,9,2,0,2,5,0,0,0
13786,1382,1,1,1,1,1,1,1,9,1,1,3,0,0,0,0
13787,2433,1,2,2,2,1,2,0,8,1,1,3,7,1,0,2
13788,2070,1,2,1,1,1,2,0,10,2,1,1,3,0,0,2
13789,1883,2,2,2,2,0,2,0,1,0,0,2,9,2,0,2
13790,1999,1,2,2,1,1,1,0,11,3,2,3,1,0,0,0
13791,1863,2,1,1,1,2,1,1,8,1,0,2,8,1,1,1
13792,1849,2,2,2,2,2,1,1,2,0,0,3,9,1,1,1
13793,2128,2,1,1,2,0,2,0,3,0,0,0,9,1,0,4
13794,1481,1,1,1,1,0,2,0,11,3,0,0,0,0,0,1
13795,2643,2,1,1,2,2,2,0,5,0,0,1,7,1,2,4
13796,2733,1,1,2,1,2,2,2,9,3,0,1,7,2,3,5
13797,1717,2,2,2,2,2,2,2,2,0,0,0,11,3,1,3
13798,1505,2,2,2,2,0,2,0,1,0,0,0,11,3,0,2
