id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,twitter2,nome_civil
178829,câmara,CAPITÃO AUGUSTO,PR,SP,capitao_augusto,deputadocapitao,JOSE AUGUSTO ROSA
178924,câmara,CAPITÃO FÁBIO ABREU,PR,PI,depfabioabreu,NA,FABIO ABREU COSTA
204487,câmara,CAPITÃO WAGNER,PROS,CE,capitao_wagner,NA,WAGNER SOUSA GOMES
204507,câmara,CARLA ZAMBELLI,PSL,SP,CarlaZambelli17,NA,CARLA ZAMBELLI SALGADO
141401,câmara,CARLOS BEZERRA,MDB,MT,CarlosBezerraJr,bezerra1515,CARLOS GOMES BEZERRA
204361,câmara,CARLOS CHIODINI,MDB,SC,carloschiodini,NA,CARLOS ALBERTO CHIODINI
178962,câmara,CARLOS GOMES,PRB,RS,carlosgomesdep,NA,ANTONIO CARLOS GOMES DA SILVA
178993,câmara,CARLOS HENRIQUE GAGUIM,DEM,TO,carlos_gaguim,NA,CARLOS HENRIQUE AMORIM
204460,câmara,CARLOS JORDY,PSL,RJ,carlosjordy,NA,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR
74262,câmara,CARLOS SAMPAIO,PSDB,SP,carlossampaio_,NA,CARLOS HENRIQUE FOCESI SAMPAIO
204426,câmara,CARLOS VERAS,PT,PE,carlosveras1314,NA,JOSÉ CARLOS VERAS DOS SANTOS
141398,câmara,CARLOS ZARATTINI,PT,SP,CarlosZarattini,NA,CARLOS ALBERTO ROLIM ZARATTINI
164360,câmara,CARMEN ZANOTTO,PPS,SC,carmenzanotto,ImprensaZanotto,CARMEN EMÍLIA BONFÁ ZANOTTO
204369,câmara,CAROLINE DE TONI,PSL,SC,CarolDeToni3,NA,CAROLINE RODRIGUES DE TONI
204499,câmara,CÁSSIO ANDRADE,PSB,PA,Cassio_4011,NA,CASSIO COELHO ANDRADE
204380,câmara,CELINA LEÃO,PP,DF,celinaleao,NA,CELINA LEAO HIZIM
204370,câmara,CÉLIO MOURA,PT,TO,CelioMoura13,NA,CELIO ALVES DE MOURA
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,csilveira4599 ‏,csilveira4599,CELIO ANTONIO DA SILVEIRA
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,csilveira4599 ‏,csilveira4599,CELIO ANTONIO DA SILVEIRA
204488,câmara,CÉLIO STUDART,PV,CE,CelioStudart,NA,CELIO STUDART BARBOSA
141405,câmara,CELSO MALDANER,MDB,SC,celsomaldaner,maldaner_celso,CELSO MALDANER
73441,câmara,CELSO RUSSOMANNO,PRB,SP,celsorussomanno,NA,CELSO UBIRAJARA RUSSOMANNO
204496,câmara,CELSO SABINO,PSDB,PA,celso_sabino,NA,CELSO SABINO DE OLIVEIRA
204504,câmara,CEZINHA DE MADUREIRA,PSD,SP,Czmadureira,NA,ANTONIO CEZAR CORREIA FREIRE
205476,câmara,CHARLES FERNANDES,PSD,BA,CharlesGbi,NA,CHARLES FERNANDES SILVEIRA SANTANA
204490,câmara,CHARLLES EVANGELISTA,PSL,MG,charllesevg,NA,CHARLLES THOMACELLI EVANGELISTA
141439,câmara,CHICO D'ANGELO,PDT,RJ,chico_dangelo,NA,FRANCISCO JOSÉ D'ANGELO PINTO
204476,câmara,CHIQUINHO BRAZÃO,AVANTE,RJ,BrazaoChiquinho,NA,JOÃO FRANCISCO INÁCIO BRAZÃO
204462,câmara,CHRIS TONIETTO,PSL,RJ,ChrisTonietto17,NA,CHRISTINE NOGUEIRA DOS REIS TONIETTO
178928,câmara,CHRISTIANE DE SOUZA YARED,PR,PR,christianeyared,NA,CHRISTIANE DE SOUZA YARED
204440,câmara,CHRISTINO AUREO,PP,RJ,christinoaureo,NA,CHRISTINO AUREO DA SILVA
178939,câmara,CLARISSA GAROTINHO,PROS,RJ,dep_clarissa,NA,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA
74537,câmara,CLAUDIO CAJADO,PP,BA,claudio_cajado,deputadocajado,CLÁUDIO CAJADO SAMPAIO
141408,câmara,CLEBER VERDE,PRB,MA,CleberVerde10 ‏,CleberVerde10,CLEBER VERDE CORDEIRO MENDES
141408,câmara,CLEBER VERDE,PRB,MA,CleberVerde10 ‏,CleberVerde10,CLEBER VERDE CORDEIRO MENDES
204376,câmara,CORONEL ARMANDO,PSL,SC,NA,NA,LUIZ ARMANDO SCHROEDER REIS
204378,câmara,CORONEL CHRISÓSTOMO,PSL,RO,NA,NA,JOAO CHRISÓSTOMO DE MOURA
204514,câmara,CORONEL TADEU,PSL,SP,CoronelTadeu,NA,MARCIO TADEU ANHAIA DE LEMOS
178963,câmara,COVATTI FILHO,PP,RS,CovattiFilho,NA,LUIS ANTONIO FRANCISCATTO COVATTI
135054,câmara,CRISTIANO VALE,PR,PA,NA,NA,CRISTIANO DUTRA VALE
204355,câmara,DA VITORIA,PPS,ES,josiasdavitoria,NA,JOSIAS MARIO DA VITORIA
141411,câmara,DAGOBERTO NOGUEIRA,PDT,MS,dagobertopdt,NA,DAGOBERTO NOGUEIRA FILHO
74467,câmara,DAMIÃO FELICIANO,PDT,PB,drdamiao,DrDamiaoOFICIAL,DAMIÃO FELICIANO DA SILVA
74060,câmara,DANIEL ALMEIDA,PCdoB,BA,Daniel_PCdoB‏,Daniel_PCdoB,DANIEL GOMES DE ALMEIDA
178916,câmara,DANIEL COELHO,PPS,PE,DanielCoelho23 ‏,DanielCoelho23,DANIEL PIRES COELHO
178916,câmara,DANIEL COELHO,PPS,PE,DanielCoelho23 ‏,DanielCoelho23,DANIEL PIRES COELHO
204367,câmara,DANIEL FREITAS,PSL,SC,NA,NA,DANIEL COSTA DE FREITAS
204454,câmara,DANIEL SILVEIRA,PSL,RJ,DanielPMERJ,NA,DANIEL LUCIO DA SILVEIRA
204409,câmara,DANIEL TRZECIAK,PSDB,RS,TrzeciakDaniel,NA,DANIEL TRZECIAK DUARTE
204459,câmara,DANIELA DO WAGUINHO,MDB,RJ,DanielaWaguinho,NA,DANIELA MOTE DE SOUZA CARNEIRO
160528,câmara,DANILO CABRAL,PSB,PE,danilo4010 ‏,danilocabral__,DANILO JORGE DE BARROS CABRAL
160528,câmara,DANILO CABRAL,PSB,PE,danilo4010 ‏,danilocabral__,DANILO JORGE DE BARROS CABRAL
160552,câmara,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,DanrleiFederal,NA,DANRLEI DE DEUS HINTERHOLZ
116379,câmara,DARCI DE MATOS,PSD,SC,depdarcidematos,NA,DARCI DE MATOS
73891,câmara,DARCÍSIO PERONDI,MDB,RS,darcisioperondi,NA,DARCÍSIO PAULO PERONDI
205548,câmara,DAVID MIRANDA,PSOL,RJ,davidmirandario,NA,DAVID MICHAEL DOS SANTOS MIRANDA
204511,câmara,DAVID SOARES,DEM,SP,DavidLouve,NA,DAVID BEZERRA RIBEIRO SOARES
204451,câmara,DELEGADO ANTÔNIO FURTADO,PSL,RJ,delegadofurtado,NA,ANTÔNIO DA LUZ FURTADO
178908,câmara,DELEGADO ÉDER MAURO,PSD,PA,EderMauroPA,NA,EDER MAURO CARDOSO BARRA
204512,câmara,DELEGADO MARCELO FREITAS,PSL,MG,NA,NA,MARCELO EDUARDO FREITAS
204569,câmara,DELEGADO PABLO,PSL,AM,DelegadoPablo_,NA,PABLO OLIVA SOUZA
164359,câmara,DELEGADO WALDIR,PSL,GO,delegado_waldir,NA,WALDIR SOARES DE OLIVEIRA
204542,câmara,DENIS BEZERRA,PSB,CE,denisbezerra,NA,DENIS ANDERSON DA ROCHA BEZERRA
160588,câmara,DIEGO ANDRADE,PSD,MG,diegoandrade_mg,NA,DIEGO LEONARDO DE ANDRADE CARVALHO
178929,câmara,DIEGO GARCIA,PODE,PR,diegogarciapr,NA,DIEGO ALEXSANDER GONCALO PAULA GARCIA
160599,câmara,DIMAS FABIANO,PP,MG,depdimasfabiano,NA,DIMAS FABIANO TOLEDO JÚNIOR
143632,câmara,DOMINGOS NETO,PSD,CE,Domingos_Neto,NA,DOMINGOS GOMES DE AGUIAR NETO
160758,câmara,DOMINGOS SÁVIO,PSDB,MG,DomingosSavioMG,NA,DOMINGOS SÁVIO CAMPOS RESENDE
204518,câmara,DR. FREDERICO,PATRI,MG,DrFredericoMG,NA,FREDERICO DE CASTRO ESCALEIRA
204481,câmara,DR. JAZIEL,PR,CE,NA,NA,JAZIEL PEREIRA DE SOUSA
